"Name","Location","Data Type","EOL Comment"
"LEA_base","002f8000","char[32]","T4E2008 - Learned data#World#Lotus#Elise/Exige#2008-2011#MT#2kb#EEPROM#CRP#0x0#CroftT4E090"
"LEA_ecu_engine_speed_byte_coefficient","002f8020","uint16_t",""
"LEA_ecu_engine_speed_byte_offset","002f8022","uint16_t",""
"LEA_load_alphaN_adj_X_engine_speed","002f8028","u8_rspeed_125/4+500rpm[16]",""
"LEA_load_alphaN_adj_Y_tps","002f8038","u8_factor_1/255[16]",""
"LEA_load_alphaN_adj","002f8048","u8_factor_1/100[256]",""
"LEA_ltft_low_adj","002f8148","u8_factor_1/512-1/2",""
"LEA_ltft_high_adj","002f8149","u8_factor_1/512-1/2",""
"LEA_knock_retard2","002f814a","u16_factor_1/65536[4]",""
"LEA_ltft_idle_adj","002f8152","i16_time_us",""
"LEA_idle_flow_adj1","002f81d4","i16_flow_100/1024mg/s",""
"LEA_idle_flow_adj1_ac_on","002f81d6","i16_flow_100/1024mg/s",""
"LEA_ecu_VIN","002f81d8","char[17]",""
"LEA_sensor_pps1_offset","002f82c6","u16_voltage_5/1023v",""
"LEA_sensor_pps2_offset","002f82c8","u16_voltage_5/1023v",""
"LEA_obd2_freeze_dtc","002f8300","uint16_t",""
"LEA_obd2_freeze_engine_speed","002f8302","u16_rspeed_1/4rpm",""
"LEA_obd2_freeze_fuel_sytem_status","002f8304","uint8_t",""
"LEA_obd2_freeze_load","002f8305","u8_factor_1/255",""
"LEA_obd2_freeze_car_speed","002f8306","u8_speed_kph",""
"LEA_obd2_freeze_tps","002f8307","u8_factor_1/255",""
"LEA_obd2_freeze_maf_flow","002f8308","u16_flow_10mg/s",""
"LEA_obd2_freeze_temp_coolant","002f830a","u8_temp_1-40c",""
"LEA_obd2_freeze_stft","002f830b","u8_factor_1/128-1",""
"LEA_obd2_freeze_ltft","002f830c","u8_factor_1/128-1",""
"LEA_obd2_monitors_completeness","002f8323","uint8_t",""
"LEA_obd2_freeze2_dtc","002f8324","uint16_t",""
"LEA_obd2_freeze2_engine_speed","002f8326","u16_rspeed_1/4rpm",""
"LEA_obd2_freeze2_maf_flow","002f8328","u16_flow_10mg/s",""
"LEA_obd2_freeze2_stft","002f832a","i16_factor_1/2000",""
"LEA_obd2_freeze2_ltft","002f832c","i16_factor_1/2000",""
"LEA_obd2_freeze2_temp_coolant","002f832e","u8_temp_5/8-40c",""
"LEA_obd2_freeze2_temp_coolant_engine_stop","002f832f","u8_temp_5/8-40c",""
"LEA_obd2_freeze2_temp_engine_air","002f8330","u8_temp_5/8-40c",""
"LEA_obd2_freeze2_tps","002f8331","u8_factor_1/255",""
"LEA_obd2_freeze2_engine_runtime","002f8334","u32_time_5ms",""
"LEA_obd2_freeze2_sensor_adc_pre_O2","002f8338","u16_voltage_5/1023v",""
"LEA_obd2_freeze2_sensor_adc_post_O2","002f833a","u16_voltage_5/1023v",""
"LEA_obd2_freeze2_car_speed","002f8340","u8_speed_kph",""
"LEA_tc_lauchcontrol_revlimit","002f835e","u16_rspeed_rpm",""
"LEA_obd2_P0011_flags","002f8370","uint8_t",""
"LEA_obd2_P0012_flags","002f8373","uint8_t",""
"LEA_obd2_P0016_flags","002f8376","uint8_t",""
"LEA_obd2_P0076_flags","002f8379","uint8_t",""
"LEA_obd2_P0077_flags","002f837c","uint8_t",""
"LEA_obd2_P0101_flags","002f837f","uint8_t",""
"LEA_obd2_P0102_flags","002f8382","uint8_t",""
"LEA_obd2_P0103_flags","002f8385","uint8_t",""
"LEA_obd2_P0106_flags","002f8388","uint8_t",""
"LEA_obd2_P0107_flags","002f838b","uint8_t",""
"LEA_obd2_P0108_flags","002f838e","uint8_t",""
"LEA_obd2_P0111_flags","002f8391","uint8_t",""
"LEA_obd2_P0112_flags","002f8394","uint8_t",""
"LEA_obd2_P0113_flags","002f8397","uint8_t",""
"LEA_obd2_P0116_flags","002f839a","uint8_t",""
"LEA_obd2_P0117_flags","002f839d","uint8_t",""
"LEA_obd2_P0118_flags","002f83a0","uint8_t",""
"LEA_obd2_P0122_flags","002f83a3","uint8_t",""
"LEA_obd2_P0123_flags","002f83a6","uint8_t",""
"LEA_obd2_P0128_flags","002f83a9","uint8_t",""
"LEA_obd2_P0131_flags","002f83ac","uint8_t",""
"LEA_obd2_P0132_flags","002f83af","uint8_t",""
"LEA_obd2_P0133_flags","002f83b2","uint8_t",""
"LEA_obd2_P0134_flags","002f83b5","uint8_t",""
"LEA_obd2_P0135_flags","002f83b8","uint8_t",""
"LEA_obd2_P0137_flags","002f83bb","uint8_t",""
"LEA_obd2_P0138_flags","002f83be","uint8_t",""
"LEA_obd2_P0139_flags","002f83c1","uint8_t",""
"LEA_obd2_P0140_flags","002f83c4","uint8_t",""
"LEA_obd2_P0141_flags","002f83c7","uint8_t",""
"LEA_obd2_P0171_flags","002f83ca","uint8_t",""
"LEA_obd2_P0172_flags","002f83cd","uint8_t",""
"LEA_obd2_P0222_flags","002f83d0","uint8_t",""
"LEA_obd2_P0223_flags","002f83d3","uint8_t",""
"LEA_obd2_P0201_flags","002f83d6","uint8_t",""
"LEA_obd2_P0202_flags","002f83d9","uint8_t",""
"LEA_obd2_P0203_flags","002f83dc","uint8_t",""
"LEA_obd2_P0204_flags","002f83df","uint8_t",""
"LEA_obd2_P0205_flags","002f83e2","uint8_t",""
"LEA_obd2_P0237_flags","002f83e5","uint8_t",""
"LEA_obd2_P0238_flags","002f83e8","uint8_t",""
"LEA_obd2_P0300_flags","002f83eb","uint8_t",""
"LEA_obd2_P0301_flags","002f83ee","uint8_t",""
"LEA_obd2_P0302_flags","002f83f1","uint8_t",""
"LEA_obd2_P0303_flags","002f83f4","uint8_t",""
"LEA_obd2_P0304_flags","002f83f7","uint8_t",""
"LEA_obd2_P0327_flags","002f83fa","uint8_t",""
"LEA_obd2_P0328_flags","002f83fd","uint8_t",""
"LEA_obd2_P0335_flags","002f8400","uint8_t",""
"LEA_obd2_P0340_flags","002f8403","uint8_t",""
"LEA_obd2_P0351_flags","002f8406","uint8_t",""
"LEA_obd2_P0352_flags","002f8409","uint8_t",""
"LEA_obd2_P0353_flags","002f840c","uint8_t",""
"LEA_obd2_P0354_flags","002f840f","uint8_t",""
"LEA_obd2_P1301_flags","002f8412","uint8_t",""
"LEA_obd2_P1302_flags","002f8415","uint8_t",""
"LEA_obd2_P0420_flags","002f8418","uint8_t",""
"LEA_obd2_P0441_flags","002f841b","uint8_t",""
"LEA_obd2_P0442_flags","002f841e","uint8_t",""
"LEA_obd2_P0444_flags","002f8421","uint8_t",""
"LEA_obd2_P0445_flags","002f8424","uint8_t",""
"LEA_obd2_P0446_flags","002f8427","uint8_t",""
"LEA_obd2_P0447_flags","002f842a","uint8_t",""
"LEA_obd2_P0448_flags","002f842d","uint8_t",""
"LEA_obd2_P0451_flags","002f8430","uint8_t",""
"LEA_obd2_P0452_flags","002f8433","uint8_t",""
"LEA_obd2_P0453_flags","002f8436","uint8_t",""
"LEA_obd2_P0455_flags","002f8439","uint8_t",""
"LEA_obd2_P0456_flags","002f843c","uint8_t",""
"LEA_obd2_P0461_flags","002f843f","uint8_t",""
"LEA_obd2_P0462_flags","002f8442","uint8_t",""
"LEA_obd2_P0463_flags","002f8445","uint8_t",""
"LEA_obd2_P0480_flags","002f8448","uint8_t",""
"LEA_obd2_P0481_flags","002f844b","uint8_t",""
"LEA_obd2_P0500_flags","002f844e","uint8_t",""
"LEA_obd2_P0506_flags","002f8451","uint8_t",""
"LEA_obd2_P0507_flags","002f8454","uint8_t",""
"LEA_obd2_P0562_flags","002f8457","uint8_t",""
"LEA_obd2_P0563_flags","002f845a","uint8_t",""
"LEA_obd2_P0601_flags","002f845d","uint8_t",""
"LEA_obd2_P0606_flags","002f8460","uint8_t",""
"LEA_obd2_P0627_flags","002f8463","uint8_t",""
"LEA_obd2_P0630_flags","002f8466","uint8_t",""
"LEA_obd2_P0638_flags","002f8469","uint8_t",""
"LEA_obd2_P0647_flags","002f846c","uint8_t",""
"LEA_obd2_P0646_flags","002f846f","uint8_t",""
"LEA_obd2_P2122_flags","002f8472","uint8_t",""
"LEA_obd2_P2123_flags","002f8475","uint8_t",""
"LEA_obd2_P2127_flags","002f8478","uint8_t",""
"LEA_obd2_P2128_flags","002f847b","uint8_t",""
"LEA_obd2_P2135_flags","002f847e","uint8_t",""
"LEA_obd2_P2138_flags","002f8481","uint8_t",""
"LEA_obd2_P2173_flags","002f8484","uint8_t",""
"LEA_obd2_P2602_flags","002f8487","uint8_t",""
"LEA_obd2_P2603_flags","002f848a","uint8_t",""
"LEA_obd2_P2646_flags","002f848d","uint8_t",""
"LEA_obd2_P2647_flags","002f8490","uint8_t",""
"LEA_obd2_P2648_flags","002f8493","uint8_t",""
"LEA_obd2_P2649_flags","002f8496","uint8_t",""
"LEA_obd2_P2104_flags","002f8499","uint8_t",""
"LEA_obd2_P2105_flags","002f849c","uint8_t",""
"LEA_obd2_P2106_flags","002f849f","uint8_t",""
"LEA_obd2_P2107_flags","002f84a2","uint8_t",""
"LEA_obd2_P2100_flags","002f84a5","uint8_t",""
"LEA_obd2_P2102_flags","002f84a8","uint8_t",""
"LEA_obd2_P2103_flags","002f84ab","uint8_t",""
"LEA_obd2_P2108_flags","002f84ae","uint8_t",""
"LEA_perf_time_at_TPS","002f84b4","u32_time_100ms[8]",""
"LEA_perf_time_at_RPM","002f84d4","u32_time_100ms[8]",""
"LEA_perf_time_at_KMH","002f84f4","u32_time_100ms[8]",""
"LEA_perf_time_at_coolant_temp","002f8514","u32_time_100ms[4]",""
"LEA_perf_engine_run_timer","002f8524","u32_time_100ms",""
"LEA_perf_fastest_standing_start","002f8528","u8_time_100ms[2]",""
"LEA_perf_last_standing_start","002f852a","u8_time_100ms[2]",""
"LEA_perf_number_of_standing_starts","002f852c","uint16_t",""
"LEA_perf_max_engine_speed","002f852e","u16_rspeed_rpm[5]",""
"LEA_perf_max_engine_speed_5_coolant_temp","002f8538","u8_temp_5/8-40c",""
"LEA_perf_max_engine_speed_5_run_timer","002f853c","u32_time_100ms",""
"LEA_perf_max_engine_speed_4_coolant_temp","002f8540","u8_temp_5/8-40c",""
"LEA_perf_max_engine_speed_4_run_timer","002f8544","u32_time_100ms",""
"LEA_perf_max_engine_speed_3_coolant_temp","002f8548","u8_temp_5/8-40c",""
"LEA_perf_max_engine_speed_3_run_timer","002f854c","u32_time_100ms",""
"LEA_perf_max_engine_speed_2_coolant_temp","002f8550","u8_temp_5/8-40c",""
"LEA_perf_max_engine_speed_2_run_timer","002f8554","u32_time_100ms",""
"LEA_perf_max_engine_speed_1_coolant_temp","002f8558","u8_temp_5/8-40c",""
"LEA_perf_max_engine_speed_1_run_timer","002f855c","u32_time_100ms",""
"LEA_perf_max_vehicle_speed","002f8560","u8_speed_kph[5]",""
"CAL_base","003f98d0","char[32]","T4E2008#World#Lotus#Elise/Exige#2008-2011#MT#15540b#MPC563#CRP#0x3C8E#Lotus "
"CAL_ecu_engine_speed_byte_coefficient","003f98f4","uint16_t","DO NOT EDIT THIS VALUE. Internal engine speed byte used within the ECU to index many lookup tables.

Formula: engine_speed = COEFFICIENT / flywheel_tooth_count_period - offset."
"CAL_ecu_engine_speed_byte_offset","003f98f6","uint16_t","DO NOT EDIT THIS VALUE. Internal engine speed byte used within the ECU to index many lookup tables.

Formula: engine_speed = coefficient / flywheel_tooth_count_period - OFFSET."
"CAL_sensor_baro_gain","003f98f8","u16_ratio_mbar/5v","Barometric pressure sensor build into the ECU. Datasheet MXP4100A: 1/0.01059 * 10 mbar/kPa = 944"
"CAL_sensor_baro_offset","003f98fa","i16_pressure_mbar","Barometric pressure sensor build into the ECU. Datasheet MXP4100A: 0.1518/0.01059 * 10 mbar/kPa = 143"
"CAL_sensor_evap_gain","003f98fc","u16_ratio_mbar/5v","Pressure sensor calibration of the evaporative system.

Formula: pressure = signal * GAIN + offset"
"CAL_sensor_evap_offset","003f98fe","i16_pressure_mbar","Pressure sensor calibration of the evaporative system.

Formula: pressure = signal * gain + OFFSET"
"CAL_sensor_map_gain","003f9900","u16_ratio_mbar/5v","Pressure sensor calibration of the intake manifold.

Formula: pressure = signal * GAIN + offset"
"CAL_sensor_map_offset","003f9902","i16_pressure_mbar","Pressure sensor calibration of the intake manifold.

Formula: pressure = signal * gain + OFFSET"
"CAL_load_use_alphaN_timer","003f9914","u8_time_5ms","Once the negative/positive tps change or the absolute tps threshold is triggered\, the alphaN will be used for this amount of time."
"CAL_misc_use_tmap","003f9915","uint8_t","On supercharged car\, there is an additional sensor build after the intercooler. 0 = Use temperature of MAF\, 1 = Use this sensor for engine air temperature."
"CAL_ign_cranking_max_runtime","003f9916","u8_time_10ms","Time after startup to use the cranking ignition advance."
"CAL_sensor_dt_tps1_age","003f9917","u8_time_5ms","Throttle body position differential value 1\, the current tps and an old tps values are used. This value sets how old should be the second value. Between 0 and 75ms."
"CAL_tc_rear_tyre_circumference","003f9918","u16_length_mm","Circumference of the rear tyres. Needed to convert the rotational speed of the wheels into a car speed."
"CAL_tc_abs_ring_teeth_count","003f991a","uint8_t","Number of teeth of holes of the abs ring. Needed to convert the abs signal into a rotational speed of the wheel."
"CAL_dfso_delay_recovery_multiplicator","003f991b","uint8_t","In certain conditions\, the DFSO delay is consumed. If this parameter is set to 1\, the delay will recover in the same amount of time that has been consumed."
"CAL_load_reactivity","003f991c","u8_factor_1/256","Every 5ms\, the sampled load value (maf or alphaN) is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_ign_min_stop_coolant_to_use_adj2","003f991d","u8_temp_5/8-40c","When the engine coolant is below this startup temperature threshold\, adj2 is always 0."
"CAL_ign_max_stop_coolant_to_use_adj2","003f991e","u8_temp_5/8-40c","When the engine coolant is above this startup temperature threshold\, adj2 is always 0."
"CAL_ign_advance_dfso","003f991f","u8_angle_1/4deg","Ignition advance (degree before top dead center) when dfso is activated.

Formula (low cam) : adv = low_cam_base * adj2 * tc_adj + adj1 + (adj3 * adj3_adj) + adj4
Formula (high cam): adv = high_cam_base * adj2 * tc_adj + adj1 + (adj3 * adj3_adj) + adj4
Formula (idle)    : adv = idle_base + idle_adj1 + idle_adj2 + idle_adj3 + idle_adj_ac_on
Formula (cranking): adv = ADVANCE_DFSO
Formula (cranking): adv = advance_cranking"
"CAL_injtip_in_adj_gears","003f9921","u8_factor_1/128[6]","Add extra fuel (injection time) based on change in the tps. It's like the accelerator pump of a carburator.

Formula: tip_in(t) = time_base * (dt_tps2 - (adj2 * t)) * adj1 * adj3 * ADJ_GEAR"
"CAL_sensor_dt_engine_speed_age","003f9927","uint8_t","Engine speed differential\, the current speed and an old speed are used. This value sets how old should be the second value. Between 0 and 7 (7 is the less sensitive)."
"CAL_knock_signal_avg_min","003f9928","u8_x256","Minimum value allowed for signal_avg."
"CAL_ign_advance_adj_cyl","003f992c","u8_angle_1/4-32deg[4]","Ignition advance adjustment per cylinder."
"CAL_ac_disable_coolant","003f9930","u8_temp_5/8-40c","When the engine coolant is above this temperature threshold\, disable the A/C compressor."
"CAL_ac_enable_coolant","003f9931","u8_temp_5/8-40c","When the engine coolant is below this temperature threshold\, enable the A/C compressor."
"CAL_ac_disable_pps","003f9932","u8_factor_1/255","When the pps is above this position threshold\, disable the A/C compressor."
"CAL_ac_enable_tps","003f9933","u8_factor_1/255","When the tps is below this position threshold\, enable the A/C compressor."
"CAL_ac_disable_user_min_time","003f9934","u8_time_5ms","Once the A/C is disabled by the user\, the A/C compressor will be held off at least this amount of time. Only afterwards it will be allowed to be turned back on."
"CAL_fan_low_on","003f9935","u8_temp_5/8-40c","When the engine coolant is above this temperature threshold\, turn on the low speed fan."
"CAL_fan_low_off","003f9936","u8_temp_5/8-40c","When the engine coolant is below this temperature threshold\, turn off the low speed fan."
"CAL_fan_low_on_engine_off","003f9937","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is above this temperature threshold\, turn on the low speed fan."
"CAL_fan_low_off_engine_off","003f9938","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is below this temperature threshold\, turn off the low speed fan."
"CAL_fan_high_on","003f9939","u8_temp_5/8-40c","When the engine coolant is above this temperature threshold\, turn on the high speed fan."
"CAL_fan_high_off","003f993a","u8_temp_5/8-40c","When the engine coolant is below this temperature threshold\, turn off the high speed fan."
"CAL_fan_cutoff","003f993b","u8_speed_kph","When the car is above this speed threshold\, turn off the fan."
"CAL_idle_flow_adj1_corr_max_threshold","003f993c","u8_flow_100mg/s","The ECU will make a +10.24mg/s correction to the learned_flow_adj1 value\, if the flow_adj8 is above this threshold."
"CAL_idle_flow_adj1_corr_min_threshold","003f993d","u8_flow_-100mg/s","The ECU will make a -10.24mg/s correction to the learned_flow_adj1 value\, if the flow_adj8 is below this threshold."
"CAL_idle_flow_adj1_corr_max","003f993e","u8_flow_100mg/s","Maximum learned_flow_adj1 value. The ECU will not make correction above this value."
"CAL_idle_flow_adj1_corr_min","003f993f","u8_flow_-100mg/s","Minimum learned_flow_adj1 value. The ECU will not make correction below this value."
"CAL_closedloop_min_engine_air","003f9940","u8_temp_5/8-40c","Minimum engine air temperature to enable the closed loop operation."
"CAL_closedloop_stft_idle_time_between_step","003f9943","u8_time_5ms","WITH IDLING ENGINE: Minimum time between stft corrections. At 1200rpm.

Formula: time = TIME_BETWEEN_STEP * 1200 / engine_speed"
"CAL_ac_disable_engine_speed","003f9944","u8_rspeed_125/4+500rpm","When the engine is above this speed threshold\, disable the A/C compressor."
"CAL_ac_enable_engine_speed","003f9945","u8_rspeed_125/4+500rpm","When the engine is below this speed threshold\, enable the A/C compressor."
"CAL_ac_disable_pps_min_time","003f9946","u8_time_100ms","If the A/C compressor is disabled by the pps position threshold\, it will be held off for at least this amount of time."
"CAL_misc_engine_detection_on_minimum_crank_tooth","003f9947","uint8_t",""
"CAL_ac_enable_user_min_time","003f9948","u8_time_5ms","Once the A/C is enabled by the user\, the A/C compressor will be held on at least this amount of time. Only afterwards it will be allowed to be turned back off."
"CAL_misc_recirculation_pump_on_engine_off","003f9949","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is above this temperature threshold\, turn on the recirculation pump."
"CAL_misc_recirculation_pump_off_engine_off","003f994a","u8_temp_5/8-40c","WITH ENGINE OFF (HEAT SOAK): When the engine coolant is below this temperature threshold\, turn off the recirculation pump."
"CAL_load_alphaN_adj_corr_max","003f994b","u8_factor_1/100","Maximum alphaN adj value. The ECU will not make correction above this value."
"CAL_load_alphaN_adj_corr_min","003f994c","u8_factor_1/100","Minimum alphaN adj value. The ECU will not make correction below this value."
"CAL_tc_car_speed_reactivity","003f994f","u8_factor_1/256","At every cycle\, the sampled car speed value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_load_alphaN_adj_corr_min_coolant","003f9950","u8_temp_5/8-40c","The ECU will not make correction to the alphaN adj table\, unless the engine coolant is above this temperature threshold."
"CAL_fan_high_off_user_delay","003f9951","u8_time_s","The signal AC REQ FAN also controls the high speed fan. But when this signal is deasserted\, a delay defined by this value is used before the fan is turned off."
"CAL_sensor_engine_air_reactivity","003f9953","u8_factor_1/2560","At every cycle\, the sampled engine air value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_coolant_reactivity","003f9954","u8_factor_1/2560","At every cycle\, the sampled coolant value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_intake_air_reactivity","003f9955","u8_factor_1/2560","At every cycle\, the sampled intake air value is mixed with the previous value.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_sensor_fuel_reactivity","003f9957","u8_factor_1/256","At every cycle\, the sampled fuel level value is mixed with the previous value.
Note: This does not have an influence on the fuel gauge of the instrument cluster.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_ac_disable_car_speed","003f9958","u8_speed_kph","When the car is above this speed threshold\, disable the A/C compressor."
"CAL_ac_enable_car_speed","003f9959","u8_speed_kph","When the car is below this speed threshold\, enable the A/C compressor."
"CAL_ecu_ign_threshold","003f995b","u8_voltage_72/1023v","By turning the key on the IGN position\, power is asserted to a dedicated input of the ECU and is considered active if above this threshold."
"CAL_dfso_enable_car_speed","003f995c","u8_speed_kph","When the car is above this speed threshold\, enable the deceleration fuel shut off."
"CAL_dfso_disable_car_speed","003f995d","u8_speed_kph","When the car is below this speed threshold\, disable the deceleration fuel shut off."
"CAL_sensor_O2_heater_warmup_period","003f995f","u8_time_5ms","The duty cylce is hard coded to 80% but the period can be changed."
"CAL_sensor_O2_heater_warmup_time","003f9960","u16_time_5ms","Once the engine is running and during this WARMUP time\, the O2 heater will be progressively heated up (80% heater duty cycle)."
"CAL_knock_retard1_limit","003f9962","u8_angle_1/4deg","Maximium allowed value for retard1."
"CAL_knock_retard2_corr_inc_coef","003f9965","uint8_t","The ECU will make corrections to the retard2 value\, if the engine load is above the retard2_corr_threshold.

Formula (retard1 is 0): retard2 = retard2 - retard2_corr_dec_step
Formula (retard1  > 0): retard2 = retard2 + retard1 * RETARD2_CORR_INC_COEF

Note: retard2 is saved in the eeprom."
"CAL_knock_retard2_corr_dec_step","003f9966","uint8_t","The ECU will make corrections to the retard2 value\, if the engine load is above the retard2_corr_threshold.

Formula (retard1 is 0): retard2 = retard2 - RETARD2_CORR_DEC_STEP
Formula (retard1  > 0): retard2 = retard2 + retard1 * retard2_corr_inc_coef

Note: retard2 is saved in the eeprom."
"CAL_knock_retard1_engine_speed_max","003f9967","u8_rspeed_125/4+500rpm","If the engine is above this speed threshold\, disable retard1. It will be re-enable when the engine speed will be below this threshold minus the speed_margin."
"CAL_knock_retard1_engine_speed_min","003f9968","u8_rspeed_125/4+500rpm","If the engine is below this speed threshold\, disable retard1. It will be re-enable when the engine speed will be above this threshold plus the speed_margin."
"CAL_knock_retard1_min_coolant","003f9969","u8_temp_5/8-40c","If the engine coolant is below this temperature threshold\, disable retard1."
"CAL_knock_signal_fadeout_step","003f996a","uint8_t","WHEN KNOCK IS DETECTED: Fadeout the peak by incrementing the average.

Formula: signal_avg = signal_avg + SIGNAL_FADEOUT_STEP"
"CAL_knock_signal_reactivity","003f996b","u8_factor_1/256","To separate real knock from noise\, a peak detection is build for every cylinders.

Formula:

signal_avg = (100% - REACTIVITY) * signal_avg + REACTIVITY * signal
peak = (signal * 10) / (signal_avg + 1)
peak_over_threshold = peak - threshold"
"CAL_knock_speed_margin","003f996c","u8_rspeed_125/4rpm","Engine speed margin for retard1_engine_speed_min and retard1_engine_speed_max thresholds."
"CAL_knock_load_margin","003f996d","u8_load_4mg/stroke","Engine load margin for retard_threshold and retard2_corr_threshold thresholds."
"CAL_knock_retard1_dt_tps2_time","003f996e","u8_time_5ms","If the retard1 is disabled by a change in tps\, it will be re-enable after this amount of time."
"CAL_knock_retard1_max_?","003f996f","undefined1",""
"CAL_knock_retard1_dt_tps2_threshold","003f9970","u16_factor_1/1023","If the tps is above this change threshold\, disable retard1."
"CAL_evap_mode_?_0_1_2","003f9972","uint8_t",""
"CAL_closedloop_stft_avg_reactivity","003f9973","u8_factor_1/256","Every 5ms\, the stft value is mixed with the previous value to build an average. The stft average is then used in the ltft.

Formula: value = (100% - REACTIVITY) * previous + REACTIVITY * sample"
"CAL_evap_?a","003f9974","u8_time_100ms",""
"CAL_evap_enable_inj_time_threshold","003f9975","u8_time_8us","When the INJECTION TIME and idle flow are above their respective thresholds\, enable the evaporative canister purge."
"CAL_evap_disable_inj_time_threshold","003f9976","u8_time_8us","When the injection is below this time threshold\, disable the evaporative canister purge."
"CAL_evap_?b","003f9979","u8_time_100ms",""
"CAL_evap_vacuum_reactivity","003f997a","u8_factor_1/256",""
"CAL_evap_enable_idle_flow_threshold","003f997b","u8_flow_100mg/s","When the injection time and IDLE FLOW are above their respective thresholds\, enable the evaporative canister purge."
"CAL_evap_disable_idle_flow_threshold","003f997c","u8_flow_100mg/s","When the idle is below this flow threshold\, disable the evaporative canister purge."
