"name","storagetype","units","expression","to_bytes","format","fineincrement","coarseincrement","description"
"uint8_t","uint8","#","x","x","0","1","10","Number"
"uint16_t","uint16","#","x","x","0","1","100","Number"
"u8_x256","uint8","#","x*256","x/256","0","256","2560","Number"
"u8_factor_1/32","uint8","%","x*100/32","x*32/100","0","1","5","Percent"
"u8_factor_1/64","uint8","%","x*100/64","x*64/100","0","1","5","Percent"
"u8_factor_10/1632","uint8","%","x*1000/1632","x*1632/1000","0","1","5","Percent"
"u8_factor_10/204","uint8","%","x*1000/204","x*204/1000","0","1","5","Percent"
"u8_factor_1/100","uint8","%","x","x","0","1","5","Percent"
"u8_factor_1/128","uint8","%","x*100/128","x*128/100","0","1","5","Percent"
"u8_factor_1/128-1","uint8","%","(x*100/128)-100","(x+100)*128/100","0","1","5","Percent"
"u8_factor_1/156-14/156","uint8","%","(x-14)*100/156","(x*156/100)+14","0","1","5","Percent"
"u8_factor_1/200","uint8","%","x*100/200","x*200/100","0.0","1","5","Percent"
"u8_factor_1/255","uint8","%","x*100/255","x*255/100","0.0","1","5","Percent"
"u8_factor_1/256","uint8","%","x*100/256","x*256/100","0.0","1","5","Percent"
"u8_factor_1/512-1/2","uint8","%","(x-128)*100/512","(x*512/100)+128","0.0","1","5","Percent"
"u8_factor_1/1023","uint8","%","x*100/1023","x*1023/100","0.00","0.1","1","Percent"
"u8_factor_1/2000","uint8","%","x*100/2000","x*2000/100","0.00","0.1","1","Percent"
"u16_factor_1/100","uint16","%","x","x","0","1","5","Percent"
"u16_factor_1/1023","uint16","%","x*100/1023","x*1023/100","0.00","0.1","1","Percent"
"u16_factor_1/2000","uint16","%","x*100/2000","x*2000/100","0.00","0.1","1","Percent"
"i16_factor_1/2000","int16","%","x*100/2000","x*2000/100","0.00","0.1","1","Percent"
"u16_factor_1/2000-2048/125","uint16","%","(x-32768)*100/2000","(x*2000/100)+32768","0.00","0.1","1","Percent"
"u16_factor_1/2048","uint16","%","x*100/2048","x*2048/100","0.00","0.1","1","Percent"
"u16_factor_1/65536","uint16","%","x*100/65536","x*65536/100","0.00","0.1","1","Percent"
"u8_factor_1/2560","uint8","%","x*100/2560","x*2560/100","0.00","0.1","1","Percent"
"u8_voltage_5/255v","uint8","v","x*5/255","x*255/5","0.0","0.1","0.5","Volt"
"u8_voltage_5/1023v","uint8","v","x*5/1023","x*1023/5","0.00","0.05","0.2","Volt"
"u16_voltage_5/1023v","uint16","v","x*5/1023","x*1023/5","0.00","0.05","0.2","Volt"
"u16_voltage_18/1023v","uint16","v","x*18/1023","x*1023/18","0.00","0.05","0.2","Volt"
"u16_current_mA","uint16","A","x/1000","x*1000","0.00","0.01","0.2","Ampere"
"u8_voltage_72/1023v","uint8","v","x*72/1023","x/72*1023","0.0","0.2","1.0","Volt"
"u8_angle_1/4deg","uint8","°","x/4","x*4","0.00","0.25","1.0","Degrees"
"u8_angle_1/4-10deg","uint8","°","(x/4)-10","(x+10)*4","0.00","0.25","1.0","Degree"
"u8_angle_1/4-20deg","uint8","°","(x/4)-20","(x+20)*4","0.00","0.25","1.0","Degree"
"u16_angle_1/4-20deg","uint16","°","(x/4)-20","(x+20)*4","0.00","0.25","1.0","Degree"
"u8_angle_1/4-30deg","uint8","°","(x/4)-30","(x+30)*4","0.00","0.25","1.0","Degree"
"u8_angle_1/4-32deg","uint8","°","(x/4)-32","(x+32)*4","0.00","0.25","1.0","Degree"
"u8_angle_720/256deg","uint8","°","x*720/256","x*256/720","0","2","8","Degree"
"u8_rspeed_4rpm","uint8","rpm","x*4","x/4","0","4","16","RPM"
"u8_rspeed_8rpm","uint8","rpm","x*8","x/8","0","8","32","RPM"
"u8_rspeed_4-512rpm","uint8","rpm","(x*4)-512","(x+512)/4","0","4","16","RPM"
"u16_rspeed_rpm","uint16","rpm","x","x","0","10","100","RPM"
"u16_rspeed_1/4rpm","uint16","rpm","x/4","x*4","0","10","100","RPM"
"u8_rspeed_4+500rpm","uint8","rpm","(x*4)+500","(x-500)/4","0","4","16","RPM"
"u8_rspeed_125/4+500rpm","uint8","rpm","(x*125/4)+500","(x-500)*4/125","0","32","100","RPM"
"u16_rspeed_125/4+500rpm","uint16","rpm","(x*125/4)+500","(x-500)*4/125","0","32","100","RPM"
"u8_rspeed_10+6000rpm","uint8","rpm","(x*10)+6000","(x-6000)/10","0","10","100","RPM"
"u16_length_mm","uint16","cm","x/10","x*10","0.0","0.1","2","Centimeter"
"u8_speed_kph","uint8","km/h","x","x","0","1","10","km/h"
"u16_speed_1/100kph","uint16","km/h","x/100","x*100","0.00","0.01","1","km/h"
"u8_temp_5/8-40c","uint8","°C","(x*5/8)-40","(x+40)*8/5","0.0","0.625","2","Degree Celsius"
"u8_temp_1-40c","uint8","°C","x-40","x+40","0","1","2","Degree Celsius"
"u16_time_25ns","uint16","ns","x*25","x/25","0","25","100","Nanosecond"
"u8_time_us","uint8","us","x","x","0","1","10","Microsecond"
"u16_time_4us","uint16","rpm","15000000/x","15000000/x","0","1","10","RPM"
"u8_time_10us","uint8","us","x*10","x/10","0","10","100","Microsecond"
"u8_time_-10us","uint8","us","x*-10","x/-10","0","10","100","Microsecond"
"u8_time_20us","uint8","us","x*20","x/20","0","20","200","Microsecond"
"u8_time_64us","uint8","us","x*64","x/64","0","64","200","Microsecond"
"u8_time_256us","uint8","ms","x*256/1000","x*1000/256","0.0","0.2","1","Millisecond"
"u8_time_512us","uint8","ms","x*512/1000","x*1000/512","0.0","0.4","2","Millisecond"
"u8_time_5ms","uint8","ms","x*5","x/5","0","5","10","Millisecond"
"i16_time_us","int16","us","x","x","0","1","10","Microsecond"
"u16_time_5ms","uint16","s","x*5/1000","x*1000/5","0.00","0.1","1","Second"
"u32_time_5ms","uint32","s","x*5/1000","x*1000/5","0.00","0.1","1","Second"
"u8_time_10ms","uint8","ms","x*10","x/10","0","10","20","Millisecond"
"u8_time_25ms","uint8","ms","x*25","x/25","0","25","100","Millisecond"
"u8_time_40ms","uint8","s","x/25","x*25","0.0","0.04","1","Second"
"u8_time_50ms","uint8","s","x/20","x*20","0.0","0.05","1","Second"
"u8_time_80ms","uint8","s","x*2/25","x*25/2","0.0","0.08","1","Second"
"u8_time_100ms","uint8","s","x/10","x*10","0.0","0.1","1","Second"
"u8_time_s","uint8","s","x","x","0","1","5","Second"
"u16_time_s","uint16","s","x","x","0","1","5","Second"
"u8_time_5s","uint8","s","x*5","x/5","0","5","25","Second"
"u8_load_4mg/stroke","uint8","mg/stroke","x*4","x/4","0","4","20","Milligram/Stroke"
"u8_load_1173mg/255stroke","uint8","mg/stroke","x*1173/255","x*255/1173","0.0","4","20","Milligram/Stroke"
"u16_load_4mg/stroke","uint16","mg/stroke","x*4","x/4","0","4","20","Milligram/Stroke"
"u16_load_mg/stroke","uint16","mg/stroke","x","x","0","1","20","Milligram/Stroke"
"u8_flow_100mg/s","uint8","g/s","x/10","x*10","0.0","0.1","10","Gram/Second"
"u8_flow_-100mg/s","uint8","g/s","x/-10","x*-10","0.0","0.1","10","Gram/Second"
"u16_flow_100/256mg/s","uint16","mg/s","x*100/256","x*256/100","0.0","0.1","10","Milligram/Second"
"u8_flow_100/1024mg/s","uint8","mg/s","x*100/1024","x*1024/100","0.0","0.1","10","Milligram/Second"
"i16_flow_100/1024mg/s","int16","mg/s","x*100/1024","x*1024/100","0.0","0.1","10","Milligram/Second"
"u8_flow_100-12800mg/s","uint8","g/s","(x-128)/10","(x*10)+128","0.0","0.1","10","Gram/Second"
"u16_flow_mg/s","uint16","mg/s","x","x","0","1","5","Milligram/Second"
"u16_flow_10mg/s","uint16","g/s","x/100","x*100","0.0","0.01","1","Gram/Second"
"u8_mass_g","uint8","g","x","x","0","1","5","Gram"
"u16_mass_g","uint16","g","x","x","0","1","5","Gram"
"u16_mass_40g","uint16","g","x*40","x/40","0","40","200","Gram"
"u8_mass_4g","uint8","g","x*4","x/4","0","4","20","Gram"
"u8_mass_8g","uint8","g","x*8","x/8","0","8","40","Gram"
"u16_volume_1+153cc","uint16","cc","x+153","x-153","0","10","50","Cubic centimeter"
"u8_dt_factor_1/100/5ms","uint8","%/5ms","x","x","0","1","5","Percent/5ms"
"u16_ratio_rpm/kph","uint16","rpm/km/h","x","x","0.0","1","5","Gear Ratio"
"u16_ratio_mbar/5v","uint16","mbar/5volt","x","x","0","10","50","Millibar/5v"
"i16_pressure_mbar","int16","mbar","x","x","0","10","50","Millibar"
"u8_pressure_4mbar","uint8","mbar","x*4","x/4","0","4","40","Millibar"
"u8_lambda_1/100","uint8","λ","x/100","x*100","0.00","0.5","0.1","Lambda"
"u8_afr_1/20+5","uint8","A/F","(x/20)+5","(x-5)*20","0.0","0.5","0.1","AFR"
"u8_afr_1/100","uint8","A/F","x/100","x*100","0.0","0.5","0.1","AFR"
"u16_afr_1/100","uint16","A/F","x/100","x*100","0.0","0.5","0.1","AFR"
